10	0	0	
9	1	0	
8	2	0	
7	3	0	
6	4	0	
7	3	0	
8	2	0	
7	3	0	
8	2	0	
7	3	0	
8	2	0	
9	1	0	
8	2	0	
9	1	0	
8	2	0	
7	3	0	
6	4	0	
7	3	0	
6	4	0	
5	5	0	
6	4	0	
5	5	0	
4	6	0	
3	7	0	
3	6	1	
4	5	1	
3	6	1	
3	7	0	
4	6	0	
3	7	0	
4	6	0	
3	7	0	
3	6	1	
3	5	2	
2	6	2	
1	7	2	
1	8	1	
2	7	1	
1	8	1	
2	7	1	
1	8	1	
2	8	0	
1	9	0	
1	8	1	
1	9	0	
1	8	1	
1	7	2	
1	6	3	
1	5	4	
1	6	3	
0	7	3	
0	6	4	
0	5	5	
0	6	4	
0	5	5	
0	6	4	
0	5	5	
0	6	4	
0	7	3	
0	6	4	
0	7	3	
0	8	2	
0	7	3	
0	6	4	
0	5	5	
0	6	4	
0	5	5	
0	4	6	
0	3	7	
0	2	8	
0	1	9	
0	2	8	
0	1	9	
0	0	10	
